Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Apartamento;Cidade Nova;1;0;0;46;1000.0;;
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;
Apartamento;Olaria;1;0;0;39;800.0;;
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;;
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0
Quitinete;Copacabana;1;0;0;15;1100.0;600.0;
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0
Quitinete;Gardênia Azul;1;0;0;20;485.0;;
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0
Apartamento;Leme;1;0;0;31;1140.0;420.0;24.0
Apartamento;Grajaú;1;0;0;30;800.0;283.0;187.0
Apartamento;Botafogo;1;0;0;17;1100.0;330.0;15.0
Apartamento;Méier;1;0;0;53;900.0;484.0;37.0
Casa;Vila da Penha;1;0;0;40;850.0;;
Quitinete;Centro;1;0;1;15;750.0;;
Apartamento;Curicica;1;1;0;45;700.0;356.0;126.0
Casa;Vaz Lobo;1;0;0;35;400.0;;
Apartamento;Méier;1;0;0;50;1000.0;390.0;16.0
Apartamento;Andaraí;1;0;1;30;1100.0;580.0;
Apartamento;Praça Seca;1;0;1;50;600.0;;
Quitinete;Copacabana;1;0;0;30;1150.0;450.0;30.0
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0
Apartamento;Centro;1;0;1;38;1150.0;400.0;25.0
Apartamento;Santa Teresa;1;0;0;21;800.0;312.0;15.0
Apartamento;Colégio;1;0;0;58;950.0;;
Apartamento;Rocha Miranda;1;0;0;33;750.0;;
Quitinete;Copacabana;1;0;0;15;800.0;305.0;24.0
Apartamento;Centro;1;0;0;35;1000.0;300.0;
Apartamento;Guadalupe;1;0;0;60;700.0;;
Apartamento;Campo Grande;1;1;0;46;650.0;250.0;
Quitinete;Glória;1;0;0;20;850.0;495.0;
Apartamento;Vila Isabel;1;1;1;50;1050.0;450.0;
Apartamento;Fátima;1;0;0;50;1100.0;558.0;20.0
Apartamento;Higienópolis;1;0;0;55;750.0;120.0;
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Apartamento;Santa Teresa;1;1;0;49;1150.0;570.0;28.0
Apartamento;Benfica;1;0;0;15;350.0;;
Quitinete;Centro;1;0;0;40;1100.0;500.0;
Apartamento;Copacabana;1;0;0;35;1100.0;400.0;55.0
Apartamento;Tijuca;1;0;0;40;1100.0;350.0;50.0
Quitinete;Botafogo;1;0;0;25;1000.0;440.0;25.0
Quitinete;Centro;1;0;0;34;1000.0;415.0;
Apartamento;Guadalupe;1;0;0;30;450.0;;
Apartamento;Glória;1;0;0;34;1100.0;275.0;14.0
Apartamento;Higienópolis;1;0;1;45;800.0;120.0;31.0
Casa de Condomínio;Campo Grande;1;1;0;60;780.0;240.0;
Quitinete;Centro;1;1;1;37;1100.0;370.0;25.0
Apartamento;Engenho Novo;1;0;0;37;600.0;414.0;16.0
Apartamento;Encantado;1;1;0;44;500.0;346.0;
Apartamento;Barra da Tijuca;1;1;1;45;910.0;640.0;12.0
Apartamento;Centro;1;0;0;30;900.0;320.0;
Apartamento;Centro;1;0;0;21;900.0;289.0;20.0
Apartamento;Praça da Bandeira;1;0;0;35;400.0;130.0;
Apartamento;Rio Comprido;1;0;0;33;800.0;275.0;24.0
Quitinete;Curicica;1;0;0;38;750.0;;
Apartamento;Ricardo de Albuquerque;1;0;0;25;320.0;;
Quitinete;Copacabana;1;0;0;30;1000.0;300.0;30.0
Apartamento;Praça Seca;1;1;1;70;600.0;481.0;17.0
Apartamento;São Cristóvão;1;0;0;56;850.0;450.0;15.0
Casa;Oswaldo Cruz;1;0;0;40;900.0;;
Apartamento;Campo Grande;1;0;0;70;1000.0;;
Apartamento;Centro;1;0;0;38;900.0;223.0;15.0
Quitinete;Laranjeiras;1;0;0;26;700.0;450.0;
Apartamento;Méier;1;0;0;47;700.0;435.0;162.0
Apartamento;Engenho Novo;1;1;1;51;850.0;509.0;17.0
Casa;Realengo;1;0;0;40;800.0;;
Apartamento;Méier;1;0;0;55;850.0;340.0;16.0
Quitinete;Centro;1;0;0;28;900.0;350.0;20.0
Quitinete;Copacabana;1;0;0;40;1100.0;450.0;50.0
Apartamento;Flamengo;1;0;1;26;1100.0;381.0;29.0
Apartamento;Santa Teresa;1;0;0;45;740.0;180.0;25.0
Casa;Colégio;1;0;0;65;800.0;;
Quitinete;Santa Teresa;1;0;0;20;700.0;303.0;14.0
Quitinete;Centro;1;0;0;20;1090.0;300.0;15.0
Apartamento;Tanque;1;1;1;64;900.0;470.0;15.0
Apartamento;Glória;1;0;1;48;1100.0;500.0;
Quitinete;Centro;1;0;0;22;750.0;330.0;25.0
Quitinete;Centro;1;0;0;32;700.0;480.0;90.0
Quitinete;Copacabana;1;0;0;30;1100.0;423.0;242.0
Apartamento;Centro;1;0;0;40;1000.0;510.0;21.0
Apartamento;Méier;1;1;0;55;900.0;250.0;17.0
Apartamento;Centro;1;0;0;55;850.0;350.0;35.0
Apartamento;Centro;1;0;0;28;900.0;446.0;24.0
Apartamento;Catete;1;0;0;27;1000.0;359.0;29.0
Quitinete;Praça da Bandeira;1;0;0;22;800.0;313.0;25.0
Apartamento;Engenho Novo;1;1;0;62;900.0;555.0;
Apartamento;Tijuca;1;0;0;35;800.0;380.0;24.0
Apartamento;Cascadura;1;0;0;40;680.0;240.0;
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0
Apartamento;Flamengo;1;0;0;39;1100.0;580.0;20.0
Apartamento;Centro;1;0;0;35;950.0;340.0;24.0
Apartamento;Curicica;1;1;0;36;1000.0;;
Quitinete;Centro;1;0;0;33;800.0;570.0;
Quitinete;Centro;1;0;0;35;700.0;312.0;28.0
Apartamento;Tijuca;1;1;0;47;1100.0;600.0;
Apartamento;Madureira;1;0;0;55;700.0;200.0;
Quitinete;Catete;1;0;0;20;1190.0;450.0;22.0
Apartamento;Copacabana;1;0;0;55;1100.0;560.0;57.0
Apartamento;Laranjeiras;1;0;0;27;1100.0;680.0;29.0
Quitinete;Botafogo;1;0;0;20;980.0;500.0;29.0
Quitinete;Centro;1;0;0;36;900.0;325.0;
Apartamento;Glória;1;0;0;50;950.0;570.0;67.0
Apartamento;Praça Seca;1;1;0;45;650.0;370.0;140.0
Apartamento;Higienópolis;1;0;1;37;900.0;308.0;
Apartamento;Centro;1;0;0;34;1000.0;450.0;21.0
Apartamento;Tijuca;1;0;0;35;800.0;420.0;
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1050.0;590.0;37.0
Apartamento;Centro;1;0;0;45;1100.0;400.0;
Quitinete;Laranjeiras;1;0;0;24;1000.0;456.0;29.0
Quitinete;Centro;1;0;0;30;800.0;390.0;
Apartamento;Cidade Nova;1;0;0;37;800.0;214.0;14.0
Quitinete;Estácio;1;0;0;21;550.0;200.0;
Apartamento;Lapa;1;0;0;32;1100.0;380.0;
Quitinete;Centro;1;0;0;31;1000.0;465.0;106.0
Apartamento;Caju;1;0;1;45;850.0;230.0;
Quitinete;Copacabana;1;0;0;10;800.0;;60.0
Apartamento;Glória;1;0;1;40;1150.0;520.0;
Quitinete;Centro;1;0;0;27;850.0;143.0;24.0
Casa de Vila;Encantado;1;0;0;30;850.0;;
Quitinete;Copacabana;1;0;0;26;900.0;470.0;24.0
Apartamento;Centro;1;0;0;33;800.0;380.0;25.0
Apartamento;Praça Seca;1;1;0;48;450.0;275.0;
Casa de Vila;Vila da Penha;1;0;0;60;1100.0;80.0;
Apartamento;Vila da Penha;1;1;0;45;900.0;;22.0
Apartamento;Centro;1;0;0;42;1090.0;345.0;24.0
Casa de Vila;Marechal Hermes;1;0;0;88;750.0;76.0;
Casa;Realengo;1;1;0;40;600.0;;
Quitinete;Gardênia Azul;1;0;0;25;500.0;;
Apartamento;Glória;1;0;0;20;900.0;495.0;
Quitinete;Copacabana;1;0;0;22;1000.0;510.0;29.0
Casa;Campo Grande;1;0;0;40;450.0;;
Apartamento;Recreio dos Bandeirantes;1;0;0;24;1000.0;364.0;
Quitinete;Copacabana;1;0;0;22;950.0;430.0;67.0
Apartamento;Quintino Bocaiúva;1;0;0;35;750.0;;
Apartamento;Tomás Coelho;1;0;0;65;800.0;;
Quitinete;Tijuca;1;0;0;25;900.0;385.0;200.0
Quitinete;Leme;1;0;0;25;1000.0;550.0;25.0
Quitinete;Copacabana;1;0;0;29;1000.0;550.0;
Apartamento;Cachambi;1;0;1;39;850.0;320.0;
Apartamento;Copacabana;1;0;0;33;1100.0;523.0;56.0
